,Listing
1614,87101342136
1615,69103627059
1616,87101159943
1617,87101268717
1618,69103355118
1619,87101372307
1620,69104341866
1621,87101369564
1622,87101129868
1623,69102966038
1624,87100778398
1625,69102310921
1626,87101400111
1627,69104310033
1628,69104222477
1629,69104106451
1630,69103872653
1631,69103783708
1632,69104167117
1633,69104345541
1634,69103493994
1635,87101338191
1636,69104273599
1637,69104086894
1638,69104076090
1639,69103690814
1640,69104328798
1641,87100841113
1642,87101353604
1643,69103677629
1644,87101376676
1645,69104250861
1646,69104125309
1647,69104324500
1648,69104323255
1649,69104101606
1650,87101362055
1651,69103838507
1652,69102983671
1653,69103435650
1654,69103981026
1655,69103999582
1656,69103555924
1657,87101364487
1658,69104316784
1659,69104070730
1660,69103660007
1661,69104315207
1662,87101324558
1663,69104058853
1664,69103915184
1665,87101293993
1666,69104053461
1667,69102651106
1668,87101388611
1669,69102618680
1670,87101397846
1671,69104163974
1672,87101174156
1673,87101388582
1674,69104351528
1675,69104212526
1676,69103548845
1677,69104341867
1678,87101194157
1679,87101263285
1680,69102293705
1681,69104003760
1682,69103974638
1683,87101321569
1684,69104212314
1685,87101207606
1686,69102646714
1687,69103544843
1688,87101255227
1689,87100998973
1690,69102748259
1691,69104145686
1692,69104228635
1693,69103957719
1694,87101370936
1695,87101386303
1696,69103355120
1697,87101333818
1698,69103623398
1699,87101336347
1700,69104345646
1701,69103101948
1702,69102748253
1703,87101360304
1704,69104093611
1705,87101394091
1706,69103333491
1707,69102720835
1708,69104085320
1709,87101383210
1710,69104342659
1711,69104178160
1712,87100062775
1713,69104067189
1714,69104180090
1715,69104340241
1716,69104113783
1717,69104245901
1718,87101348800
1719,69104056778
1720,87101401841
1721,69104053907
1722,87101334639
1723,69103384232
1724,69103886615
1725,87100567379
1726,69104197133
1727,69103625688
1728,87101370631
1729,69103550706
1730,69104245885
1731,69103267581
1732,69103454998
1733,69104297507
1734,69103564221
1735,69104274867
1736,69103562358
1737,69103606136
1738,69104303369
1739,69102972959
1740,69103851996
1741,69104314802
1742,87101177035
1743,69103457520
1744,69103871119
1745,69103967675
1746,69104342091
1747,69104274868
1748,87100719601
1749,69103788838
1750,69104210089
1751,69103134748
1752,69104224003
1753,69104227348
1754,69104164208
1755,69103903978
1756,69102729745
1757,69104001064
1758,87100969754
1759,69104272604
1760,69104244845
1761,69104281962
1762,69103842169
1763,69104337298
1764,69104152778
1765,69103681756
1766,69102866933
1767,69103816930
1768,69104050279
1769,69104004838
1770,69104279804
1771,69103049723
1772,69102395375
1773,69104244465
1774,69104281839
1775,69104164207
1776,87101116717
1777,87101257121
1778,87100997045
1779,69104126457
1780,69104242324
1781,69104336217
1782,69103132029
1783,69104247851
1784,69104224148
1785,69102087922
1786,69103715363
1787,87101345736
1788,69103848989
1789,87101387724
1790,87101304218
1791,69104351381
1792,69104272602
1793,69104224226
1794,69103567203
1795,87101326391
1796,87100520493
1797,87101386091
1798,69103656930
1799,69104264931
1800,69104316752
1801,69103759942
1802,87101348653
1803,69104122061
1804,69104098205
1805,87101207534
1806,69104007553
1807,69104272603
1808,69103802881
1809,69104190340
1810,69103379007
1811,69104316050
1812,87101258922
1813,69103846497
1814,69103768839
1815,87100790363
1816,69104277707
1817,87101387014
1818,87101329967
1819,69104317506
1820,69103531509
1821,69104332919
1822,87101404186
1823,69103845846
1824,69103944336
1825,87101382265
1826,69104113786
1827,69103869363
1828,69104244350
1829,69103020394
1830,87101368930
1831,87101241691
1832,69104123814
1833,87101353154
1834,69104229574
1835,69102865158
1836,87101289479
1837,69103550572
1838,87101399788
1839,69103830563
1840,69104326467
1841,87101402535
1842,69101849340
1843,87101328432
1844,87101403549
1845,69103355116
1846,69103323343
1847,87101111868
1848,69104062421
1849,87101371197
1850,87101392110
1851,69104050378
1852,69103289155
1853,87101232268
1854,69103560729
1855,69103801905
1856,87101253891
1857,69103766663
1858,69104237217
1859,69103936906
1860,69104134359
1861,87100941943
1862,69102757903
1863,69103567327
1864,69102736059
1865,69104298590
1866,69104279803
1867,69104053910
1868,69104232066
1869,87101392220
1870,69102711877
